audio_filepath,duration,text,gender,age-group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
audio/281474976896933_f3077_chunk_0.wav,0.2935,Agree,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896932_f2663_chunk_0.wav,0.296375,Yes,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896928_f2744_chunk_0.wav,0.361125,On,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896935_f1040_chunk_0.wav,0.366875,Help,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896930_f1041_chunk_0.wav,0.41325,Nine,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883979_f1048_chunk_0.wav,0.445,Off,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896939_f1046_chunk_0.wav,0.45525,Bed,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896927_f2662_chunk_0.wav,0.4615625,Three,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896923_f1044_chunk_0.wav,0.470125,Dog,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976896926_f1049_chunk_0.wav,0.48525,Jump,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976895917_f318_chunk_0.wav,0.509875,life,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976883978_f1047_chunk_0.wav,0.5210625,Wow,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976895916_f198_chunk_0.wav,0.52575,Right,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976896925_f1045_chunk_0.wav,0.575875,Zero,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887081_f2283_chunk_4.wav,0.576375,Raaz,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887086_f1867_chunk_1.wav,0.6048125,it,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976896937_f2660_chunk_0.wav,0.6285625,Previous,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887081_f2283_chunk_5.wav,0.63525,Garba,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976896931_f1043_chunk_0.wav,0.6365,Forward,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887081_f2283_chunk_8.wav,0.641125,Bhajan,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887081_f2283_chunk_7.wav,0.694,Halarda,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887081_f2283_chunk_6.wav,0.7175,Lagna Geet,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887081_f2283_chunk_11.wav,0.7500625,so that,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887064_f250_chunk_1.wav,0.765625,Policy.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887081_f2283_chunk_1.wav,0.81425,all the,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976885720_f1734_chunk_0.wav,0.8280625,IPL,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887081_f2283_chunk_3.wav,0.8293125,which include,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976896922_f1042_chunk_0.wav,0.8523125,Backward,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887083_f2168_chunk_4.wav,0.985,IT sectors,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887089_f1758_chunk_5.wav,1.016875,urban area,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887048_f247_chunk_0.wav,1.0514375,According to,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887066_f682_chunk_0.wav,1.0866875,I want to buy,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976885725_f2188_chunk_0.wav,1.18425,Makar Sankranti,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887078_f1937_chunk_1.wav,1.18675,and it was in English,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883962_f2573_chunk_0.wav,1.2083125,i went to the park,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887084_f1850_chunk_3.wav,1.25525,in which we can see,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976895911_f737_chunk_0.wav,1.293125,show me a forecast,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976887078_f1937_chunk_2.wav,1.3415,It was pretty well,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887084_f1850_chunk_4.wav,1.3921875,grooming artist,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887086_f1867_chunk_3.wav,1.39875,of the people of Gujarat,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883965_f1034_chunk_0.wav,1.489625,Any discount on Flasks ?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976885687_f1226_chunk_0.wav,1.4905625,Needs Regular checkups,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887676_f3056_chunk_1.wav,1.51275,Almond Butter,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887085_f3313_chunk_1.wav,1.5334375,the,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887066_f682_chunk_3.wav,1.63,from my current location.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887065_f2528_chunk_0.wav,1.7176875,Show me all the donations,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887066_f682_chunk_1.wav,1.7678125,Salbutamol Tablets,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887065_f2528_chunk_1.wav,1.8321875,I made in last 2 month.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887055_f395_chunk_0.wav,1.84425,meaning of a particular word,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887075_f1687_chunk_0.wav,1.8835625,Can you name five states of India?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883984_f3332_chunk_0.wav,1.927375,Can you speak five district names?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883980_f1825_chunk_0.wav,1.951625,Can you name 5 countries of the world?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887075_f3241_chunk_0.wav,1.959375,Can you name five states of India?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883958_f1031_chunk_0.wav,1.9800625,please add event in calendar,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887066_f682_chunk_2.wav,1.9868125,which is the nearest medical store,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887052_f2527_chunk_0.wav,2.0156875,what is my most played song,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887670_f2944_chunk_0.wav,2.045375,send an email to this contact,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976885686_f41_chunk_0.wav,2.0959375,Chicago Northern London,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887081_f2283_chunk_12.wav,2.16025,the tradition continues,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887086_f1867_chunk_2.wav,2.26825,easily answers the local need,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887081_f2283_chunk_2.wav,2.28,folk songs in Gujarati,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887089_f1758_chunk_0.wav,2.282375,In education system of Gujarat,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976895884_f536_chunk_0.wav,2.321125,I forgot my password of Freecharge,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976883957_f1030_chunk_1.wav,2.371,this incident was the third major attack this week.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887089_f1758_chunk_4.wav,2.4179375,only few schools in,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883960_f1032_chunk_0.wav,2.507,what is the going rate for wells fargo stock,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883964_f3076_chunk_0.wav,2.5525625,Return product Grami Superfood Raw Peanuts,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887054_f399_chunk_0.wav,2.5741875,Do you store personal information about me.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887672_f581_chunk_0.wav,2.61,how many rupees can i get for one dollar?,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887069_f2936_chunk_0.wav,2.65675,For registered mobile number,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883994_f3251_chunk_6.wav,2.7375,and to feed hungry,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976885727_f2189_chunk_0.wav,2.766375,Shakespeare is the favorite writer of mine,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976883959_f3074_chunk_0.wav,2.8705,did i set an alarm to have tablets in the noon,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976895912_f1722_chunk_0.wav,2.8975625,"As you sow, so shall you reap.",Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976887676_f3056_chunk_0.wav,2.899375,I want to return product Happy Jars,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883969_f1035_chunk_0.wav,2.915375,Read out the transaction history in Yono SBI to me.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
